Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.182,0,0
2,-8.166,1.242,2.594
3,-7.781,2.19,3.219
4,-7.42,2.51,3.256
5,-7.149,2.11,2.759
6,-6.963,1.933,7.851
7,-6.715,2.314,7.915
8,-6.707,2.347,2.828
9,-6.611,3.063,4.507
