Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.803,0,0
2,-7.783,1.171,2.732
3,-7.459,2.324,3.98
4,-7.449,1.987,2.338
5,-7.068,2.379,3.099
6,-6.713,1.917,8.42
7,-6.361,2.432,4.084
8,-6.301,2.92,4.726
9,-6.193,2.739,8.605
