Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.068,0,0
2,-8.046,1.075,2.621
3,-7.706,2.306,3.236
4,-7.666,2.175,3.238
5,-7.593,2.356,3.796
6,-6.942,1.892,7.832
7,-6.719,2.171,7.599
8,-6.574,2.531,4.908
9,-6.572,2.501,7.975
