Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.195,0,0
2,-6.606,4.16,6.024
3,-5.88,1.857,2.133
4,-5.82,4.566,9.655
5,-5.806,3.437,9.652
6,-5.55,3.336,4.604
7,-5.513,1.846,2.409
8,-4.697,5.023,9.994
9,71.07,3.975,5.254
