Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.201,0,0
2,-6.569,4.155,5.989
3,-6.065,3.533,9.691
4,-5.917,3.022,9.549
5,-5.811,4.525,9.599
6,-5.807,2.23,2.504
7,-5.807,4.24,9.301
8,-5.633,3.473,9.583
9,-5.52,3.346,4.53
