Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.369,0,0
2,-6.355,4.187,6.159
3,-5.849,3.671,10.04
4,-5.191,3.466,4.924
5,-4.687,3.434,9.707
6,-4.486,3.085,3.927
7,-3.539,2.853,4.851
8,-3.24,3.258,4.662
9,-1.302,3.075,4.846
