Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.463,0,0
2,-7.846,1.414,2.121
3,-7.677,1.472,2.616
4,-7.523,2.033,7.512
5,-7.12,2.41,3.302
6,-6.872,2.66,7.749
7,-6.671,2.642,7.519
8,-6.576,2.906,7.236
9,-6.165,3.15,6.584
