Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.466,0,0
2,-7.845,1.409,2.137
3,-7.533,2.062,7.507
4,-7.05,2.497,7.351
5,-6.734,2.117,6.819
6,-6.603,1.724,2.13
7,-6.049,2.353,3.224
8,-6.025,3.129,5.088
9,-5.856,3.716,7.262
