Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.488,0,0
2,-7.752,1.529,2.425
3,-7.663,1.461,2.535
4,-7.531,2.024,7.512
5,-7.057,2.542,7.353
6,-6.821,2.843,7.394
7,-6.376,2.682,7.288
8,-6.311,3.144,7.41
9,-5.605,2.933,3.668
