Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.721,0,0
2,-8.617,2.632,6.447
3,-8.097,2.359,3.387
4,-8.071,2.738,4.473
5,-8.07,2.059,2.373
6,-7.865,3.151,7.145
7,-7.843,1.611,1.866
8,-7.601,2.868,7.184
9,-7.311,2.553,4.237
