Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.717,0,0
2,-8.583,2.665,6.439
3,-8.253,1.18,1.257
4,-8.136,2.396,3.419
5,-8.076,2.742,4.489
6,-7.906,3.197,7.155
7,-7.268,2.259,6.448
8,-7.244,2.499,6.846
9,-7.233,2.456,4.175
