Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.02,0,0
2,-7.854,1.692,2.893
3,-7.683,1.905,2.71
4,-7.448,2.507,3.51
5,-7.156,2.966,7.566
6,-6.908,2.582,7.847
7,-6.24,2.694,7.763
8,-6.198,2.52,2.973
9,-6.036,3.438,8.174
