Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.952,0,0
2,-7.798,1.674,2.892
3,-7.59,1.884,2.607
4,-7.089,2.603,3.638
5,-7.062,2.912,7.674
6,-6.806,2.584,7.835
7,-6.755,1.894,2.381
8,-6.309,2.889,8.012
9,-6.287,2.858,8.05
