Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.4,0,0
2,-7.859,1.506,2.091
3,-7.588,2.762,7.382
4,-7.557,2.3,3.36
5,-6.807,2.523,7.437
6,-6.774,1.872,2.947
7,-6.075,2.226,2.932
8,-6.033,2.822,7.861
9,-5.833,2.977,7.466
