Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.395,0,0
2,-7.881,1.502,2.092
3,-7.588,2.28,3.428
4,-7.545,1.516,2.397
5,-7.515,2.78,7.394
6,-6.686,2.614,7.386
7,-6.638,3.28,7.625
8,-6.351,3.586,6.887
9,-5.998,2.786,8.011
