Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-8.363,0,0
2,-7.901,1.383,2.035
3,-7.726,1.507,2.718
4,-7.611,2.744,7.353
5,-7.568,2.107,7.352
6,-7.351,2.115,3.507
7,-6.788,2.684,7.215
8,-6.784,2.902,7.088
9,-6.56,2.684,7.541
