Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.568,0,0
2,-7.502,2.697,8.313
3,-7.367,2.764,8.173
4,-6.741,3.038,8.395
5,-6.63,2.598,3.634
6,-6.328,2.19,2.54
7,-6.303,2.91,3.934
8,-6.097,3.049,3.614
9,-6.09,3.387,4.381
