Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.732,0,0
2,-7.66,1.663,1.845
3,-7.627,2.714,8.329
4,-7.255,2.993,7.065
5,-6.999,2.858,7.317
6,-6.996,3.281,6.968
7,-6.78,3.244,7.805
8,-6.349,3.891,8.379
9,-6.313,3.124,3.903
