Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.5,0,0
2,-7.494,2.695,8.283
3,-7.409,2.797,8.088
4,-6.972,2.433,3.481
5,-6.766,2.877,3.726
6,-6.572,3.035,4.021
7,-6.379,3.361,4.191
8,-6.357,3.188,4.574
9,-1.757,1.97,9.071
