Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.747,0,0
2,-7.104,2.951,8.222
3,-6.933,2.694,8.237
4,-6.188,1.95,2.414
5,-5.608,3.142,4.384
6,-5.214,1.745,2.228
7,-4.991,3.785,5.475
8,-4.393,3.137,4.398
9,2.55,2.925,3.74
