Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.752,0,0
2,-7.666,1.417,1.514
3,-7.097,2.948,8.224
4,-6.943,2.703,8.234
5,-6.267,3.135,8.209
6,-5.653,3.143,4.388
7,-5.113,3.467,8.089
8,-4.51,3.913,5.422
9,-4.277,3.607,8.352
