Mode,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.
1,-7.747,0,0
2,-7.659,1.414,1.515
3,-7.087,2.95,8.226
4,-5.651,3.151,4.403
5,-5.45,2.287,2.685
6,-5.118,3.465,8.081
7,-5.01,1.566,2.021
8,-4.667,2.537,2.903
9,9.276,2.705,8.232
